

### Centroids within bounding box (Lat -10 to 10, Lon 100 to 120)
                              0                                        1
 HYP_HR_SR_OB_DR_12_35__layer_5 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_15 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_21 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_31 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_38 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_42 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_54 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_58 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_63 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_64 [114.39999992027879, -8.133333013392985]
 HYP_HR_SR_OB_DR_10_34__layer_4  [105.86666693910956, 8.933332990854979]
 HYP_HR_SR_OB_DR_10_34__layer_5  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_11  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_36  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_47  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_51  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_52  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_54  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_59  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_62  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_70  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_11_34__layer_10 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_15 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_34 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_39 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_40 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_42 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_50 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_52 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_57 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_34__layer_71 [105.86666693910956, 0.3999999677762389]
HYP_HR_SR_OB_DR_12_34__layer_19 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_21 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_23 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_49 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_12_34__layer_59 [105.86666693910956, -8.133333013392985]
HYP_HR_SR_OB_DR_11_35__layer_16 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_21 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_25 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_30 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_31 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_44 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_49 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_51 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_53 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_11_35__layer_63 [114.39999992027879, 0.3999999677762389]
HYP_HR_SR_OB_DR_10_35__layer_20  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_42  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_46  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_55  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_61  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_72  [114.39999992027879, 8.933332990854979]
HYP_HR_SR_OB_DR_10_35__layer_75  [114.39999992027879, 8.933332990854979]
 HYP_HR_SR_OB_DR_12_35__layer_1 [114.39999992027879, -8.133333013392985]
 HYP_HR_SR_OB_DR_12_35__layer_2 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_11 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_17 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_18 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_47 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_53 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_56 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_72 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_12_35__layer_73 [114.39999992027879, -8.133333013392985]
HYP_HR_SR_OB_DR_10_34__layer_21  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_27  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_29  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_48  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_49  [105.86666693910956, 8.933332990854979]
HYP_HR_SR_OB_DR_10_34__layer_50  [105.86666693910956, 8.933332990854979]
