0,1,2
layer_1,HYP_HR_SR_OB_DR_22_17__layer_1,
layer_1,HYP_HR_SR_OB_DR_22_38__layer_1,
layer_1,HYP_HR_SR_OB_DR_22_12__layer_1,
layer_1,HYP_HR_SR_OB_DR_22_30__layer_1,
layer_1,HYP_HR_SR_OB_DR_22_10__layer_1,
layer_10,HYP_HR_SR_OB_DR_22_13__layer_10,
layer_10,HYP_HR_SR_OB_DR_22_17__layer_10,
layer_10,HYP_HR_SR_OB_DR_22_01__layer_10,
layer_10,HYP_HR_SR_OB_DR_22_38__layer_10,
layer_10,HYP_HR_SR_OB_DR_22_24__layer_10,
layer_11,HYP_HR_SR_OB_DR_22_17__layer_11,
layer_11,HYP_HR_SR_OB_DR_22_01__layer_11,
layer_11,HYP_HR_SR_OB_DR_22_38__layer_11,
layer_11,HYP_HR_SR_OB_DR_22_24__layer_11,
layer_11,HYP_HR_SR_OB_DR_22_12__layer_11,
layer_12,HYP_HR_SR_OB_DR_22_17__layer_12,
layer_12,HYP_HR_SR_OB_DR_22_01__layer_12,
layer_12,HYP_HR_SR_OB_DR_22_38__layer_12,
layer_12,HYP_HR_SR_OB_DR_22_24__layer_12,
layer_12,HYP_HR_SR_OB_DR_22_12__layer_12,
layer_13,HYP_HR_SR_OB_DR_22_17__layer_13,
layer_13,HYP_HR_SR_OB_DR_22_01__layer_13,
layer_13,HYP_HR_SR_OB_DR_22_38__layer_13,
layer_13,HYP_HR_SR_OB_DR_22_24__layer_13,
layer_13,HYP_HR_SR_OB_DR_22_12__layer_13,
layer_14,HYP_HR_SR_OB_DR_22_17__layer_14,
layer_14,HYP_HR_SR_OB_DR_22_38__layer_14,
layer_14,HYP_HR_SR_OB_DR_22_12__layer_14,
layer_14,HYP_HR_SR_OB_DR_22_30__layer_14,
layer_14,HYP_HR_SR_OB_DR_22_10__layer_14,
layer_15,HYP_HR_SR_OB_DR_22_19__layer_15,
layer_15,HYP_HR_SR_OB_DR_22_17__layer_15,
layer_15,HYP_HR_SR_OB_DR_22_07__layer_15,
layer_15,HYP_HR_SR_OB_DR_22_38__layer_15,
layer_15,HYP_HR_SR_OB_DR_22_40__layer_15,
layer_16,HYP_HR_SR_OB_DR_22_17__layer_16,
layer_16,HYP_HR_SR_OB_DR_22_38__layer_16,
layer_16,HYP_HR_SR_OB_DR_22_12__layer_16,
layer_16,HYP_HR_SR_OB_DR_22_30__layer_16,
layer_16,HYP_HR_SR_OB_DR_22_10__layer_16,
