0,1,2,3,4
AOT_10m,12065.089946484188,12065.0930447835,12065.096507629461,12065.099
AOT_20m,12065.08984855263,12065.092977225897,12065.096740982184,12065.099
AOT_60m,12065.09,12065.093051722952,12065.096600255303,12065.099
B01_20m,12065.090063679243,12065.093023827725,12065.096378815626,12065.099
B01_60m,12065.090030926678,12065.093218369644,12065.096945238094,12065.099
B02_10m,12065.09,12065.09322751778,12065.096748040318,12065.099
B02_20m,12065.09,12065.093017724585,12065.096835517235,12065.099
B02_60m,12065.09,12065.092985676303,12065.096230555559,12065.099
B03_10m,12065.09,12065.093085553475,12065.096143700786,12065.099
B03_20m,12065.090000000002,12065.09314525803,12065.096374255212,12065.099
B03_60m,12065.09,12065.09312916669,12065.096618055553,12065.099
B04_10m,12065.09,12065.093167795812,12065.097,12065.099
B04_20m,12065.089994668699,12065.093038050858,12065.096878652597,12065.099
B04_60m,12065.090005439084,12065.093090699787,12065.096662990196,12065.099
B05_20m,12065.089985607028,12065.09297829626,12065.09619244735,12065.099
B05_60m,12065.09,12065.092999009086,12065.09630448957,12065.099
B06_20m,12065.090015731294,12065.092995225716,12065.096410305958,12065.099
B06_60m,12065.09,12065.09301726418,12065.09599920064,12065.099
B07_20m,12065.09,12065.093308333333,12065.09654017857,12065.099
B07_60m,12065.09,12065.093071101357,12065.096724239862,12065.099000000002
B08_10m,12065.089999295777,12065.093,12065.096095029241,12065.099
B09_60m,12065.09,12065.09299078213,12065.096898837208,12065.099
B11_20m,12065.09,12065.092968609517,12065.096665178571,12065.099
B11_60m,12065.090034416611,12065.092997271679,12065.096001906317,12065.099
B12_20m,12065.09,12065.093521719858,12065.096650490415,12065.099
B12_60m,12065.09,12065.093077023512,12065.096586558722,12065.099
B8A_20m,12065.09,12065.09299896552,12065.096538,12065.099
B8A_60m,12065.09,12065.093079633867,12065.097,12065.099
SCL_20m,12065.09,12065.09305609869,12065.097,12065.099
SCL_60m,12065.090008867834,12065.093029436515,12065.096568421055,12065.099
TCI_10m,12065.089966302643,12065.092990225578,12065.09643280423,12065.099
TCI_20m,12065.09,12065.092986680002,12065.096735470084,12065.099
TCI_60m,12065.09,12065.093127463559,12065.097,12065.099
WVP_10m,12065.090009233008,12065.093287786805,12065.096762175835,12065.099
WVP_20m,12065.090001658717,12065.093296221758,12065.09637962963,12065.099
WVP_60m,12065.09,12065.092998979946,12065.096923828125,12065.099000000002
