0,1,2,3,4,5
AOT_10m,2783,12065.087,12065.1,12065.09,0.0
AOT_20m,2783,12065.087,12065.1,12065.09,0.0
AOT_60m,2783,12065.087,12065.1,12065.09,0.0
B01_20m,2783,12065.087,12065.1,12065.09,0.0
B01_60m,2783,12065.087,12065.1,12065.09,0.0
B02_10m,2783,12065.087,12065.1,12065.09,0.0
B02_20m,2783,12065.087,12065.1,12065.09,0.0
B02_60m,2783,12065.087,12065.1,12065.09,0.0
B03_10m,2783,12065.087,12065.1,12065.09,0.0
B03_20m,2783,12065.087,12065.1,12065.09,0.0
B03_60m,2783,12065.087,12065.1,12065.09,0.0
B04_10m,2783,12065.087,12065.1,12065.09,0.0
B04_20m,2783,12065.087,12065.1,12065.09,0.0
B04_60m,2783,12065.087,12065.1,12065.09,0.0
B05_20m,2783,12065.087,12065.1,12065.09,0.0
B05_60m,2783,12065.087,12065.1,12065.09,0.0
B06_20m,2783,12065.087,12065.1,12065.09,0.0
B06_60m,2783,12065.087,12065.1,12065.09,0.0
B07_20m,2783,12065.087,12065.1,12065.09,0.0
B07_60m,2783,12065.087,12065.1,12065.09,0.0
B08_10m,2783,12065.087,12065.1,12065.09,0.0
B09_60m,2783,12065.087,12065.1,12065.09,0.0
B11_20m,2783,12065.087,12065.1,12065.09,0.0
B11_60m,2783,12065.087,12065.1,12065.09,0.0
B12_20m,2783,12065.087,12065.1,12065.09,0.0
B12_60m,2783,12065.087,12065.1,12065.09,0.0
B8A_20m,2783,12065.087,12065.1,12065.09,0.0
B8A_60m,2783,12065.087,12065.1,12065.09,0.0
SCL_20m,2783,12065.087,12065.1,12065.09,0.0
SCL_60m,2783,12065.087,12065.1,12065.09,0.0
TCI_10m,2783,12065.087,12065.1,12065.09,0.0
TCI_20m,2783,12065.087,12065.1,12065.09,0.0
TCI_60m,2783,12065.087,12065.1,12065.09,0.0
WVP_10m,2783,12065.087,12065.1,12065.09,0.0
WVP_20m,2783,12065.087,12065.1,12065.09,0.0
WVP_60m,2783,12065.087,12065.1,12065.09,0.0
