0,1,2
AOT_10m,10m,2783
AOT_20m,20m,2783
AOT_60m,60m,2783
B01_20m,20m,2783
B01_60m,60m,2783
B02_10m,10m,2783
B02_20m,20m,2783
B02_60m,60m,2783
B03_10m,10m,2783
B03_20m,20m,2783
B03_60m,60m,2783
B04_10m,10m,2783
B04_20m,20m,2783
B04_60m,60m,2783
B05_20m,20m,2783
B05_60m,60m,2783
B06_20m,20m,2783
B06_60m,60m,2783
B07_20m,20m,2783
B07_60m,60m,2783
B08_10m,10m,2783
B09_60m,60m,2783
B11_20m,20m,2783
B11_60m,60m,2783
B12_20m,20m,2783
B12_60m,60m,2783
B8A_20m,20m,2783
B8A_60m,60m,2783
SCL_20m,20m,2783
SCL_60m,60m,2783
TCI_10m,10m,2783
TCI_20m,20m,2783
TCI_60m,60m,2783
WVP_10m,10m,2783
WVP_20m,20m,2783
WVP_60m,60m,2783
