0,1,2,3
T30UVA_20250612T112131_B02_10m_R10m_synth_7,B02_10m,12065.1,1834.6615979649744
T30UVA_20250612T112131_TCI_60m_R60m_synth_7,TCI_60m,12065.1,1835.054243412667
T30UVA_20250612T112131_B05_60m_R60m_synth_9,B05_60m,12065.1,1835.537364934068
T30UVA_20250612T112131_B03_60m_R60m_synth_2,B03_60m,12065.1,1836.0879100940408
T30UVA_20250612T112131_B8A_20m_R20m_synth_6,B8A_20m,12065.1,1836.1323324461962
T30UVA_20250612T112131_B02_60m_R60m_synth_9,B02_60m,12065.1,1836.2579524907242
T30UVA_20250612T112131_B01_20m_R20m_synth_1,B01_20m,12065.1,1836.4377173648359
T30UVA_20250612T112131_B01_60m_R60m_synth_2,B01_60m,12065.1,1836.5053453874275
T30UVA_20250612T112131_B8A_20m_R20m_synth_1,B8A_20m,12065.1,1836.851622490892
T30UVA_20250612T112131_B11_60m_R60m_synth_6,B11_60m,12065.1,1836.8916603672467
