0,1,2
AOT_10m,T30UVA_20250612T112131_AOT_10m_R10m_synth_7,12065.1
AOT_10m,T30UVA_20250612T112131_AOT_10m_R10m_synth_6,12065.1
AOT_10m,T30UVA_20250612T112131_AOT_10m_R10m_synth_5,12065.1
AOT_10m,T30UVA_20250612T112131_AOT_10m_R10m_synth_3,12065.1
AOT_10m,T30UVA_20250612T112131_AOT_10m_R10m_synth_3,12065.1
AOT_20m,T30UVA_20250612T112131_AOT_20m_R20m_synth_5,12065.1
AOT_20m,T30UVA_20250612T112131_AOT_20m_R20m_synth_2,12065.1
AOT_20m,T30UVA_20250612T112131_AOT_20m_R20m_synth_3,12065.1
AOT_20m,T30UVA_20250612T112131_AOT_20m_R20m_synth_4,12065.1
AOT_20m,T30UVA_20250612T112131_AOT_20m_R20m_synth_1,12065.1
AOT_60m,T30UVA_20250612T112131_AOT_60m_R60m_synth_2,12065.1
AOT_60m,T30UVA_20250612T112131_AOT_60m_R60m_synth_3,12065.1
AOT_60m,T30UVA_20250612T112131_AOT_60m_R60m_synth_2,12065.1
AOT_60m,T30UVA_20250612T112131_AOT_60m_R60m_synth_3,12065.1
AOT_60m,T30UVA_20250612T112131_AOT_60m_R60m_synth_4,12065.1
B01_20m,T30UVA_20250612T112131_B01_20m_R20m_synth_6,12065.1
B01_20m,T30UVA_20250612T112131_B01_20m_R20m_synth_6,12065.1
B01_20m,T30UVA_20250612T112131_B01_20m_R20m_synth_7,12065.1
B01_20m,T30UVA_20250612T112131_B01_20m_R20m_synth_3,12065.1
B01_20m,T30UVA_20250612T112131_B01_20m_R20m_synth_7,12065.1
B01_60m,T30UVA_20250612T112131_B01_60m_R60m_synth_6,12065.1
B01_60m,T30UVA_20250612T112131_B01_60m_R60m_synth_9,12065.1
B01_60m,T30UVA_20250612T112131_B01_60m_R60m_synth_10,12065.1
B01_60m,T30UVA_20250612T112131_B01_60m_R60m_synth_7,12065.1
B01_60m,T30UVA_20250612T112131_B01_60m_R60m_synth_7,12065.1
B02_10m,T30UVA_20250612T112131_B02_10m_R10m_synth_4,12065.1
B02_10m,T30UVA_20250612T112131_B02_10m_R10m_synth_10,12065.1
B02_10m,T30UVA_20250612T112131_B02_10m_R10m_synth_7,12065.1
B02_10m,T30UVA_20250612T112131_B02_10m_R10m_synth_4,12065.1
B02_10m,T30UVA_20250612T112131_B02_10m_R10m_synth_5,12065.1
B02_20m,T30UVA_20250612T112131_B02_20m_R20m_synth_10,12065.1
B02_20m,T30UVA_20250612T112131_B02_20m_R20m_synth_3,12065.1
