0,1,2,3
T30UVA_20250612T112131_SCL_60m_R60m_synth_7,SCL_60m,12065.1,"[-3.623748, 50.059421]"
T30UVA_20250612T112131_B07_60m_R60m_synth_1,B07_60m,12065.1,"[-3.623768, 50.058715]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_7,SCL_60m,12065.1,"[-3.623718, 50.057552]"
T30UVA_20250612T112131_B11_60m_R60m_synth_6,B11_60m,12065.1,"[-3.623657, 50.058291]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_9,SCL_60m,12065.1,"[-3.623802, 50.057671]"
T30UVA_20250612T112131_B05_60m_R60m_synth_8,B05_60m,12065.1,"[-3.623745, 50.057517]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_4,SCL_60m,12065.1,"[-3.623688, 50.057177]"
T30UVA_20250612T112131_B11_60m_R60m_synth_1,B11_60m,12065.1,"[-3.623727, 50.056789]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_3,SCL_60m,12065.1,"[-3.623768, 50.057347]"
T30UVA_20250612T112131_B12_60m_R60m_synth_9,B12_60m,12065.1,"[-3.623758, 50.058568]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_6,SCL_60m,12065.1,"[-3.623765, 50.060437]"
T30UVA_20250612T112131_B12_60m_R60m_synth_8,B12_60m,12065.1,"[-3.623665, 50.057939]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_5,SCL_60m,12065.1,"[-3.623703, 50.058432]"
T30UVA_20250612T112131_B07_60m_R60m_synth_4,B07_60m,12065.1,"[-3.623732, 50.06022]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_2,SCL_60m,12065.1,"[-3.62369, 50.056639]"
T30UVA_20250612T112131_B11_60m_R60m_synth_5,B11_60m,12065.1,"[-3.62372, 50.058668]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_7,SCL_60m,12065.1,"[-3.623756, 50.056915]"
T30UVA_20250612T112131_B12_60m_R60m_synth_8,B12_60m,12065.1,"[-3.623723, 50.056562]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_8,SCL_60m,12065.1,"[-3.623724, 50.056607]"
T30UVA_20250612T112131_B07_60m_R60m_synth_1,B07_60m,12065.1,"[-3.62376, 50.06024]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_7,SCL_60m,12065.1,"[-3.623653, 50.058118]"
T30UVA_20250612T112131_B11_60m_R60m_synth_10,B11_60m,12065.1,"[-3.623828, 50.060221]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_9,SCL_60m,12065.1,"[-3.623777, 50.058538]"
T30UVA_20250612T112131_B12_60m_R60m_synth_10,B12_60m,12065.1,"[-3.623741, 50.059311]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_10,SCL_60m,12065.1,"[-3.623806, 50.060297]"
T30UVA_20250612T112131_B02_20m_R20m_synth_3,B02_20m,12065.1,"[-3.623743, 50.058375]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_4,SCL_60m,12065.1,"[-3.623727, 50.059607]"
T30UVA_20250612T112131_B05_60m_R60m_synth_7,B05_60m,12065.1,"[-3.623691, 50.058259]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_8,SCL_60m,12065.1,"[-3.623731, 50.057099]"
T30UVA_20250612T112131_B12_60m_R60m_synth_5,B12_60m,12065.1,"[-3.623713, 50.05979]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_2,SCL_60m,12065.1,"[-3.623793, 50.056692]"
T30UVA_20250612T112131_B02_20m_R20m_synth_4,B02_20m,12065.1,"[-3.623692, 50.057605]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_7,SCL_60m,12065.1,"[-3.623749, 50.059412]"
T30UVA_20250612T112131_B05_60m_R60m_synth_9,B05_60m,12065.1,"[-3.623753, 50.058573]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_9,SCL_60m,12065.1,"[-3.623812, 50.058579]"
T30UVA_20250612T112131_B12_60m_R60m_synth_2,B12_60m,12065.1,"[-3.623741, 50.059084]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_3,SCL_60m,12065.1,"[-3.623658, 50.057915]"
T30UVA_20250612T112131_B11_60m_R60m_synth_6,B11_60m,12065.1,"[-3.623712, 50.060455]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_2,SCL_60m,12065.1,"[-3.623775, 50.057348]"
T30UVA_20250612T112131_B02_20m_R20m_synth_10,B02_20m,12065.1,"[-3.623825, 50.060276]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_1,SCL_60m,12065.1,"[-3.623687, 50.058783]"
T30UVA_20250612T112131_B05_60m_R60m_synth_1,B05_60m,12065.1,"[-3.623739, 50.057027]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_9,SCL_60m,12065.1,"[-3.623768, 50.058112]"
T30UVA_20250612T112131_B11_60m_R60m_synth_1,B11_60m,12065.1,"[-3.623722, 50.058868]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_5,SCL_60m,12065.1,"[-3.623728, 50.056769]"
T30UVA_20250612T112131_B11_60m_R60m_synth_4,B11_60m,12065.1,"[-3.623776, 50.058611]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_4,SCL_60m,12065.1,"[-3.623681, 50.057573]"
T30UVA_20250612T112131_B11_60m_R60m_synth_7,B11_60m,12065.1,"[-3.623813, 50.058921]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_5,SCL_60m,12065.1,"[-3.623767, 50.056684]"
T30UVA_20250612T112131_B05_60m_R60m_synth_5,B05_60m,12065.1,"[-3.623815, 50.059698]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_2,SCL_60m,12065.1,"[-3.623666, 50.05686]"
T30UVA_20250612T112131_B02_20m_R20m_synth_6,B02_20m,12065.1,"[-3.623811, 50.058802]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_4,SCL_60m,12065.1,"[-3.623768, 50.058183]"
T30UVA_20250612T112131_B02_20m_R20m_synth_6,B02_20m,12065.1,"[-3.623744, 50.0578]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_4,SCL_60m,12065.1,"[-3.623745, 50.057773]"
